spend_multiplier,spending_rule,use_dynamic_spending,initial_money,initial_annual_cost,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0.36,1.5,0,12960.0,194.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.36,1.5,1,12960.0,194.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9994,0.999,0.9984,0.9982,0.997,0.9962,0.9958,0.9946,0.9932,0.9926,0.9914,0.9892,0.9876,0.9862,0.9854,0.9854,0.9852,0.9848,0.9842,0.9836,0.9832,0.9826
0.36,2.0,0,9720.0,194.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.36,2.0,1,9720.0,194.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9992,0.9992,0.999,0.998,0.9976,0.9972,0.9962,0.9962,0.9962,0.995,0.9944,0.9934,0.993,0.9924,0.9894,0.9892,0.9888,0.9882,0.9876,0.9872
0.36,2.5,0,7776.0,194.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.36,2.5,1,7776.0,194.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9994,0.9992,0.9992,0.999,0.9988,0.9984,0.998,0.9978,0.9974,0.997,0.9964,0.9964,0.9962,0.9958,0.9948,0.9946,0.9946,0.994,0.9938
0.36,3.0,0,6480.0,194.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.36,3.0,1,6480.0,194.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9996,0.9994,0.9992,0.9992,0.9992,0.999,0.9988,0.9988,0.9984,0.9982,0.998,0.9978,0.9976,0.9974,0.9974,0.9974,0.997
0.36,3.5,0,5554.285714285714,194.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.36,3.5,1,5554.285714285714,194.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9994,0.9994,0.9994,0.9994,0.9992,0.999,0.999,0.999,0.999,0.999,0.999,0.9986
